year,happiness,log_gdp_per_capita,social_support,life_expectancy,freedom_choices,generosity,corruption,positive_affect,negative_affect,ID
2008,3.723589897,7.350416183,0.450662315,50.5,0.718114316,0.164055109,0.88168633,0.414297044,0.25819549,1
2009,4.401778221,7.508646011,0.55230844,50.79999924,0.678896368,0.187296629,0.850035429,0.481421441,0.23709242,2
2010,4.75838089,7.613899708,0.539075196,51.09999847,0.60012722,0.117860541,0.706766069,0.516906679,0.275323808,3
2011,3.83171916,7.581258774,0.521103561,51.40000153,0.495901406,0.160098419,0.731108546,0.479834676,0.267174691,4
2012,3.782937527,7.660505772,0.520636737,51.70000076,0.530935049,0.234157175,0.775619805,0.613512814,0.267919123,5
2013,3.572100401,7.680333138,0.48355186,52.0,0.577955365,0.059246484,0.8232041,0.547416985,0.273328096,6
2014,3.130895615,7.670638084,0.525568426,52.29999924,0.508514047,0.102329925,0.871241987,0.491641015,0.374860734,7
2015,3.982854605,7.653833389,0.528597236,52.59999847,0.388927579,0.078218274,0.880638301,0.491409957,0.339276046,8
2016,4.220168591,7.650369644,0.559071779,52.92499924,0.522566199,0.040480144,0.793245554,0.501408756,0.348332286,9
2017,2.66171813,7.647830486,0.490880072,53.25,0.427010864,-0.122847714,0.954392552,0.435269952,0.371326178,10
2007,4.634251595,9.12152195,0.821371615,66.76000214,0.528604746,-0.013059232,0.874699533,0.488818616,0.24633503,16
2009,5.485469818,9.241248131,0.833046615,67.31999969,0.525223255,-0.161825195,0.863665402,0.564474463,0.279256523,17
2010,5.268936634,9.282611847,0.73315227,67.59999847,0.568958402,-0.176219359,0.726261675,0.576076567,0.300060242,18
2011,5.867421627,9.310437202,0.759433806,67.87999725,0.487496257,-0.208715081,0.877002597,0.565758884,0.256576508,19
2012,5.510124207,9.326161385,0.784501791,68.16000366,0.601512134,-0.172988042,0.847675204,0.553473175,0.271393239,20
2013,4.550647736,9.337964058,0.759476721,68.44000244,0.631830275,-0.131339297,0.862904966,0.54075098,0.338378578,21
2014,4.813763142,9.3576231,0.625586927,68.72000122,0.734648407,-0.02880116,0.882704437,0.572945058,0.334542662,22
2015,4.606650829,9.382479668,0.639356136,69.0,0.703850687,-0.084981859,0.884793043,0.579071701,0.350426674,23
2016,4.511100769,9.416690826,0.638411462,69.02500153,0.72981894,-0.021135902,0.901070774,0.567079723,0.321705997,24
2017,4.639548302,9.454931259,0.637698293,69.05000305,0.74961102,-0.032957178,0.876134634,0.547240436,0.33388412,25
2010,5.46356678,9.306354523,0.8046325921999999,65.5,0.592695832,-0.21229735,0.618037879,0.5811067637599999,0.26817400526999985,32
2011,5.317194462,9.315958023,0.810234487,65.59999847,0.529561281,-0.18762362,0.637981653,0.50273627,0.254896641,33
2012,5.604595661,9.329961777,0.839396894,65.69999695,0.586663485,-0.179102853,0.690116346,0.540058553,0.22971566,34
2014,6.354898453,9.355415344,0.818189442,65.90000153,0.53639777,-0.10166267135000004,0.85094866092,0.558359206,0.176866099,35
2016,5.340853691,9.383312225,0.748588264,66.09999847,0.53639777,-0.07880817996999999,0.8893384336999998,0.565025926,0.377111971,36
2017,5.248912334,9.37665844,0.806753874,66.19999695,0.436670482,-0.173977047,0.699774206,0.554528713,0.288710028,37
2011,5.589000702,8.944195747,0.723094344,51.22000122,0.583701789,0.0498906,0.911320329,0.666832566,0.361063153,43
2012,4.360249996,8.988576889,0.752592862,51.84000015,0.456028581,-0.141335502,0.906300485,0.590808213,0.304890066,44
2013,3.937106848,8.99957943,0.721590757,52.45999908,0.409554869,-0.108695149,0.816375494,0.650046706,0.370875001,45
2014,3.794837952,9.00983429,0.754615486,53.08000183,0.374541551,-0.172730431,0.83407563,0.595249414,0.367864132,46
2006,6.312925339,9.936885834,0.938462794,65.81999969,0.733003676,-0.162121013,0.851799488,0.748283088,0.328230023,47
2007,6.073158264,10.01307106,0.862205565,65.94000244,0.652832627,-0.146240741,0.881057739,0.749825895,0.279007971,48
2008,5.961034298,10.04291821,0.89219451,66.05999756,0.678222179,-0.137005702,0.864996254,0.719996989,0.318222284,49
2009,6.424133301,9.971766472,0.918693185,66.18000031,0.63664645,-0.135176316,0.8847422,0.761589587,0.236901477,50
2010,6.441067219,10.06566048,0.926798582,66.30000305,0.730258167,-0.131506681,0.854695439,0.765480459,0.210975498,51
2011,6.775805473,10.11243629,0.889073491,66.41999817,0.815802038,-0.179832309,0.754645705,0.768942535,0.231855154,52
2012,6.468387127,10.09074974,0.901776373,66.54000092,0.747498393,-0.153441668,0.816546202,0.744064212,0.272219121,53
2013,6.582260132,10.1033268,0.909874201,66.66000366,0.737250388,-0.135954097,0.822900295,0.766156793,0.25420472,54
2014,6.671114445,10.06688499,0.917870402,66.77999878,0.745057762,-0.169978485,0.854191601,0.769468009,0.237912863,55
2015,6.69713068,10.08305073,0.926492274,66.90000153,0.881223679,-0.179678157,0.850906193,0.767845273,0.305354923,56
2016,6.427221298,10.05145645,0.882819116,66.94999695,0.847702205,-0.197576076,0.850924492,0.73173517,0.311646461,57
2017,6.039330006,10.06888008,0.906699121,67.0,0.831966162,-0.191734508,0.841052473,0.715182364,0.291717261,58
2006,4.289310932,9.020847321,0.681876779,63.84000015,0.520197809,-0.23490116,0.849513113,0.45341751,0.469418824,65
2007,4.881515503,9.156567574,0.75964433,64.08000183,0.605410755,-0.254977107,0.817444861,0.453751594,0.411717415,66
2008,4.651972294,9.230296135,0.709485531,64.31999969,0.462156564,-0.219045147,0.876099229,0.486230165,0.384891808,67
2009,4.177581787,9.084740639,0.680006921,64.55999756,0.441412747,-0.217770666,0.881887496,0.479002982,0.411279917,68
2010,4.367811203,9.112593651,0.660342336,64.80000305,0.459256709,-0.179985702,0.890629232,0.4367477,0.42649585,69
2011,4.260491371,9.164417267,0.705108464,65.04000092,0.464524716,-0.229737729,0.874601007,0.410856694,0.45907408,70
2012,4.319711685,9.23892498,0.676446438,65.27999878,0.501863778,-0.220027179,0.892544389,0.469874054,0.463855445,71
2013,4.277191162,9.275876045,0.723260045,65.51999664,0.504081845,-0.200980872,0.899796784,0.502904475,0.449949831,72
2014,4.453083038,9.315198898,0.738763511,65.76000214,0.506487131,-0.224627823,0.920390487,0.510197997,0.403984338,73
2015,4.34831953,9.350626945,0.722551048,66.0,0.551026642,-0.209386602,0.901462197,0.526852846,0.43794772,74
2016,4.325471878,9.357068062,0.709218323,66.27500153,0.610986948,-0.177760348,0.921421051,0.515989423,0.437227815,75
2017,4.287736416,9.434254646,0.697924912,66.55000305,0.613697052,-0.15476051,0.86468333,0.552406728,0.43714875,76
2005,7.340688229,10.66205788,0.96789217,69.80000305,0.9349733,0.2498977065499999,0.390415937,0.769770324,0.23801209,82
2007,7.285390854,10.69443417,0.965276182,69.95999908,0.890681982,0.341636926,0.512578487,0.762303889,0.215350643,83
2008,7.253757477,10.70945644,0.946635187,70.04000092,0.915733337,0.299932748,0.430810511,0.728992283,0.218427315,84
2010,7.450047016,10.7136488,0.95451957,70.19999695,0.932058573,0.311334163,0.366127402,0.761715531,0.220073208,85
2011,7.405616283,10.72338581,0.967029214,70.27999878,0.944586456,0.363977283,0.381771743,0.724132299,0.195323676,86
2012,7.195585728,10.74420547,0.944599032,70.36000061,0.935146272,0.268277258,0.368251741,0.728092372,0.214396909,87
2013,7.364169121,10.75245476,0.928205192,70.44000244,0.933379173,0.263427556,0.431539029,0.770147145,0.177142262,88
2014,7.288550377,10.7630024,0.92379874,70.51999664,0.922932267,0.313164353,0.44202137,0.739815295,0.245304301,89
2015,7.309060574,10.76990891,0.95186156,70.59999847,0.921871006,0.326532662,0.356554389,0.749503672,0.209636971,90
2016,7.250080109,10.78122902,0.942334235,70.67500305,0.922315717,0.23321636,0.398545116,0.735895514,0.236085787,91
2017,7.25703764,10.78726006,0.949957848,70.75,0.910550177,0.31202361,0.411346525,0.728149831,0.225360975,92
2006,7.122211456,10.83645248,0.936350405,69.5,0.941382349,0.296715409,0.490111172,0.746153116,0.173811689,99
2008,7.180953979,10.88117504,0.934592783,69.69999695,0.879069269,0.285624593,0.613625228,0.716296494,0.173194528,100
2010,7.302678585,10.85598373,0.914193332,69.90000153,0.895979762,0.125214159,0.546144843,0.710301936,0.155792549,101
2011,7.470512867,10.88142204,0.944156826,70.0,0.939355612,0.125893205,0.702721,0.672192097,0.14523755,102
2012,7.400688648,10.8836441,0.945142388,70.09999847,0.919703901,0.112118557,0.770585775,0.712149978,0.156674996,103
2013,7.498802662,10.87800503,0.949809194,70.19999695,0.921734452,0.162564397,0.678936899,0.725053191,0.162603319,104
2014,6.949999809,10.87678051,0.898920476,70.30000305,0.885026872,0.11192444,0.566931307,0.720965326,0.17014955,105
2015,7.07644701,10.87566471,0.928110301,70.40000153,0.900305152,0.093210064,0.55747962,0.747707725,0.164469033,106
2016,7.048071861,10.88454914,0.926318586,70.52500153,0.888513982,0.07412865,0.52364099,0.713450849,0.197423846,107
2017,7.293727875,10.89993763,0.906217813,70.65000153,0.890030563,0.127590865,0.518303812,0.698889375,0.18026872,108
2006,4.727870941,9.154187202,0.85441488,60.58000183,0.771528184,-0.239249572,0.774117172,0.468755603,0.275695145,115
2007,4.56815958,9.365991592,0.753246784,60.86000061,0.522046328,-0.211112499,0.870909989,0.474291265,0.284357488,116
